episode,rewards_with_game_theory
0,10.612966058415763
1,6.667400792568914
2,4.586276713262053
3,12.113489142518757
4,27.798042710245834
5,4.567018538954221
6,56.33829286169172
7,46.73301512207237
8,98.35972252991482
9,6.537256165173084
10,43.41085436872601
11,6.648484655053876
12,46.67482439255461
13,13.947945627735802
14,7.381578244895164
15,8.064249699438728
16,36.59362846008272
17,35.3323586528242
18,-0.400000611804497
19,32.68813804444489
20,181.78660613267832
21,61.47651453106999
22,64.62808389433691
23,16.35158512529701
24,18.863386691455553
25,10.70269864369243
26,101.80896444453529
27,48.20353224462562
28,31.87801073432502
29,58.21050981318795
30,26.942208632838817
31,66.4240716983445
32,31.853396636883687
33,45.45026098786349
34,3.2000907957368954
35,27.028749616949852
36,53.51989740073048
37,15.195289856094178
38,2.986346714855586
39,34.72014627296746
40,10.376460983275798
41,6.663905631734272
42,18.84639553252288
43,27.523922231698105
44,33.18693429649301
45,51.283564814101396
46,153.8136986879892
47,81.73128636421734
48,45.79303742094044
49,13.57663131627147
50,85.83729214495438
51,59.40365925105331
52,39.48442895331166
53,100.43056587631645
54,35.401971846649836
55,92.10220082919741
56,3.564023059427221
57,42.73181902985398
58,44.08513082901241
59,114.68674862657515
60,108.04836457619069
61,2.9319636871206765
62,58.856570308920546
63,3.198087101873794
64,235.37963860822708
65,16.183171256413466
66,60.41936541324326
67,125.18267562141844
68,103.96904573232416
69,41.860385146349515
70,106.80396558458251
71,24.535087420514934
72,49.56486746186023
73,177.85130081518335
74,22.430942282046214
75,-0.39999991720124894
76,105.7449075132138
77,45.6613391006083
78,22.74225373168446
79,33.76313185594616
80,3.9615818676065606
81,5.419082009758919
82,92.23179250790427
83,1.7051482231849069
84,88.92073310323825
85,2.5999999999999996
86,37.01104235032727
87,10.966214458449693
88,36.602022034578724
89,60.71425755306285
90,7.829645394331049
91,127.1478822822402
92,5.349333049247347
93,80.8430430507479
94,23.44331045902589
95,22.551464796611267
96,149.39539770345036
97,48.75048620949577
98,1.5999999994421064
99,17.977471040411835
100,4.248731455206203
101,64.31820104226148
102,6.891760888740242
103,95.61771734577096
104,7.990172317411645
105,17.651750772847514
106,28.100275733244693
107,8.407904580789017
108,75.26908000834803
109,88.28617698684268
110,19.544516149974307
111,19.90003007025201
112,60.84461152019171
113,20.189635828782627
114,21.352491530505258
115,31.964469987158605
116,24.708512605820278
117,39.122856915457454
118,84.66549519251008
119,5.305148223184906
120,55.786975825024165
121,78.43220101296941
122,118.56808342890601
123,3.2
124,21.00284076954805
125,38.59414448498561
126,45.133984965549004
127,19.95401852307934
128,1.1242343145200198
129,4.626144733213494
130,21.25066000711944
131,24.709625829577
132,129.02096814618926
133,33.44873097629862
134,213.19439856525062
135,82.33295060287091
136,71.23251447735488
137,177.39256877225245
138,36.68624268006795
139,11.134440025514479
140,78.77600536540362
141,102.29829717275763
142,38.967583975050985
143,34.25323823431107
144,70.28413632934819
145,77.43049670654705
146,109.24539894930048
147,7.790172282829353
148,60.67158142503464
149,59.72129257979041
150,61.15406341611265
151,-0.9999999958776927
152,37.063607844588724
153,11.03290688146439
154,92.16434292984778
155,44.86675389893767
156,96.37374804975653
157,71.11241763894756
158,49.108286004662325
159,21.604723947112113
160,2.6621171572600097
161,25.13407067718358
162,24.081318342902673
163,83.54787038796206
164,71.57135864947425
165,139.7540411798413
166,23.5003418465765
167,40.94881362843664
168,18.489823271532718
169,1.6
170,5.150379051855847
171,43.84780902168846
172,114.97300863189956
173,97.71680448358744
174,135.05254007183882
175,17.199156528258367
176,14.5102323403194
177,19.322925260469283
