metric,with_game_theory,without_game_theory,improvement_percentage
Average Reward,48.0300195147139,39.044554691867,23.013362282547888
Standard Deviation,44.40416501639763,40.97370725817293,-7.725531505789817
Maximum Reward,235.37963860822708,186.01319629826395,26.539215116118008
Episodes to Convergence,64.0,0.0,-100.0
p-value,0.04665421911558321,0.04665421911558321,
CI Low,4.5419739212509045,4.5419739212509045,
CI High,13.428955724442897,13.428955724442897,
