step,critic_loss
0,6.384899616241455
1,5.480573654174805
2,5.53641414642334
3,5.676077842712402
4,5.1292290687561035
5,5.497403144836426
6,5.844350814819336
7,5.031294822692871
8,4.991519927978516
9,4.707699298858643
10,5.407416343688965
11,5.180363655090332
12,4.59659481048584
13,4.2063422203063965
14,4.511393070220947
15,4.323846340179443
16,4.0494303703308105
17,4.273895740509033
18,3.9237141609191895
19,4.043771743774414
20,4.00101375579834
21,4.240907192230225
22,3.849184036254883
23,3.6278884410858154
24,3.732802629470825
25,3.739470958709717
26,3.2522356510162354
27,3.77858304977417
28,3.197239398956299
29,3.147138833999634
30,3.0313007831573486
31,2.9724020957946777
32,3.0164811611175537
33,3.1834092140197754
34,2.8372421264648438
35,3.1538333892822266
36,2.667088747024536
37,2.699735164642334
38,2.6028554439544678
39,2.509817123413086
40,2.420987606048584
41,2.2750911712646484
42,2.2873659133911133
43,2.1981725692749023
44,2.1032474040985107
45,2.2159180641174316
46,2.06160306930542
47,2.1148314476013184
48,1.754652976989746
49,1.8739763498306274
50,1.8257502317428589
51,1.8646811246871948
52,1.8087527751922607
53,1.5732969045639038
54,1.3830927610397339
55,1.9473981857299805
56,1.5987178087234497
57,1.9247796535491943
58,1.7746787071228027
59,1.3615970611572266
60,1.7945704460144043
61,1.4378013610839844
62,1.4988012313842773
63,1.337904691696167
64,1.5591251850128174
65,1.4199013710021973
66,1.336167812347412
67,1.4304558038711548
68,1.4558544158935547
69,1.4932810068130493
70,1.8462928533554077
71,1.3662481307983398
72,1.5151028633117676
73,1.2630707025527954
74,1.3503475189208984
75,1.4214917421340942
76,1.4655735492706299
77,1.3410789966583252
78,1.464032769203186
79,1.2433736324310303
80,1.5394623279571533
81,1.087948203086853
82,1.3382456302642822
83,1.404341459274292
84,1.1466360092163086
85,1.5373469591140747
86,1.6464359760284424
87,1.3935775756835938
88,1.3548825979232788
89,1.3113036155700684
90,1.3272210359573364
91,1.3716294765472412
92,1.0882222652435303
93,1.160207748413086
94,1.322126865386963
95,1.3497426509857178
96,1.2268757820129395
97,1.3646140098571777
98,1.324008584022522
99,1.3494868278503418
100,1.387940526008606
101,1.0798625946044922
102,1.2338967323303223
103,1.2538297176361084
104,1.2552285194396973
105,1.177504539489746
106,1.2428715229034424
107,1.1264042854309082
108,1.0736923217773438
109,1.1175305843353271
110,1.1732470989227295
111,1.1046286821365356
112,1.1645300388336182
113,1.4891445636749268
114,1.1396726369857788
115,1.345071792602539
116,1.15256929397583
117,0.9206757545471191
118,1.2544324398040771
119,0.9278956055641174
120,0.9647039175033569
121,1.2857491970062256
122,0.8712828159332275
123,0.9452018737792969
124,1.171852946281433
125,1.1491971015930176
126,1.0722204446792603
127,0.9995830059051514
128,1.070494294166565
129,0.9801838397979736
130,0.739533007144928
131,1.001071572303772
132,0.9662855863571167
133,1.0411772727966309
134,1.0175230503082275
135,0.904631495475769
136,1.0817210674285889
137,0.9475895166397095
138,0.9687544107437134
139,1.0089296102523804
140,1.0229429006576538
141,1.0654702186584473
142,0.8632928729057312
143,0.7741659283638
144,0.7965480089187622
145,0.9368751049041748
146,1.2332335710525513
147,1.055135726928711
148,0.8351368308067322
149,1.0659536123275757
150,0.9358928203582764
151,0.9135965704917908
152,0.9393501281738281
153,0.831897497177124
154,0.8747466206550598
155,0.9815922975540161
156,0.8976867198944092
157,0.9998958110809326
158,0.8530905842781067
159,0.916773796081543
160,0.962723970413208
161,0.939566969871521
162,1.1188859939575195
163,0.9723289012908936
164,0.9138192534446716
165,0.9896684288978577
166,0.8248908519744873
167,0.8413312435150146
168,0.7940250635147095
169,0.8411414623260498
170,0.7644690275192261
171,0.9051558971405029
172,0.7817695736885071
173,0.7541073560714722
174,0.8367398381233215
175,0.8665022850036621
176,0.7759757041931152
177,0.7715423703193665
178,0.7808130979537964
179,0.747911810874939
180,0.7691868543624878
181,0.8676955699920654
182,0.7633981704711914
183,0.80567866563797
184,0.8789641261100769
185,0.9119471907615662
186,0.6803423166275024
187,0.7330340147018433
188,0.7067410945892334
189,0.8951265811920166
190,0.7574005722999573
191,0.5838427543640137
192,0.775924801826477
193,0.8971962928771973
194,0.7112916111946106
195,0.6270803809165955
196,0.6904500722885132
197,0.7332266569137573
198,0.8343939781188965
199,0.6529668569564819
200,0.7448878288269043
201,1.0090365409851074
202,0.8366039991378784
203,0.8994770646095276
204,0.7193204760551453
205,0.5725436210632324
206,0.626226007938385
207,0.8396611213684082
208,0.7150884866714478
209,0.5821212530136108
210,0.828823447227478
211,0.9002810716629028
212,0.7740734815597534
213,0.8590627312660217
214,0.8694998025894165
215,0.8461994528770447
216,0.5718977451324463
217,0.8792357444763184
218,0.6712777614593506
219,0.7551624178886414
220,0.6896940469741821
221,1.080632209777832
222,0.766676664352417
223,0.7415993809700012
224,0.7526204586029053
225,0.8598355054855347
226,0.7895591259002686
227,0.5599042773246765
228,0.664451539516449
229,0.699495255947113
230,0.7195749282836914
231,0.7323250770568848
232,0.9631115198135376
233,1.0761332511901855
234,0.8235869407653809
235,0.9003443121910095
236,0.7340613007545471
237,0.7364990711212158
