step,smoothed_critic_loss,smoothed_actor_loss
0,5.7742509841918945,-0.5989618301391602
100,2.4882963636133932,-1.7335052230570576
200,0.9012989289689772,-2.6134888842554376
300,0.7451200845217941,-3.1767954141786783
400,0.9652016570072363,-3.7822683306023626
500,1.2087910771369934,-4.402926652738364
600,1.4923314499382925,-5.039709298917563
700,1.8247065638551618,-5.6823073566550075
800,2.064556313033151,-6.366225280384026
900,2.294459051424914,-7.043789315931868
1000,2.6732306326970017,-7.697161816134312
1100,2.8042928157466473,-8.359270907864712
1200,3.184556513729662,-9.000901647133402
1300,3.847201983527382,-9.647067409930843
1400,4.005393459065126,-10.293827207961884
1500,4.589889652658217,-10.916677465533265
1600,4.992220785358165,-11.541605061823779
1700,5.430178048587082,-12.165956714365741
1800,6.41887637648252,-12.784522859176787
1900,6.9435597847003745,-13.384330872261879
2000,7.805883545686703,-13.993158274357862
2100,6.844340952316133,-14.631410513774004
2200,8.985944887199024,-15.16687797319771
2300,9.665117018293627,-15.730501080503558
2400,9.911120729871316,-16.2937333324168
2500,10.267096159481767,-16.881009375694955
2600,12.381903696768354,-17.39918036508088
2700,13.498767678100284,-17.88999040055983
2800,12.633768258708539,-18.459143005975402
2900,14.76078742683524,-18.947526988416616
3000,15.637467307619529,-19.453392161001073
3100,14.47083588283841,-20.01996954360811
3200,14.44822057166902,-20.586981537318465
3300,16.389418830966004,-21.093292292982046
3400,15.909483845871273,-21.627202326708503
3500,18.570910911748904,-22.126936657593983
3600,20.052218805445303,-22.54375956318166
3700,19.348561563114128,-23.11866035083733
3800,20.637874779134695,-23.577734050184194
3900,19.117791012962265,-24.105342751682393
4000,20.60926365734327,-24.614850431385605
4100,20.666090360962517,-25.07012964003157
4200,22.304211103089965,-25.50272824504588
4300,23.419053336181264,-25.980424824327525
4400,24.815964512305683,-26.414716286234338
4500,27.100908210962125,-26.82254908344533
4600,26.649312047675103,-27.268120510743397
4700,30.08483906547622,-27.609082967928142
4800,28.08825167098848,-28.114691139447807
4900,28.764565132632114,-28.501824803871685
5000,28.409888631046407,-28.93421730192581
5100,29.764063699410695,-29.355295785582893
5200,31.162559155190344,-29.73081092079087
5300,36.850361465227486,-30.070125598718626
5400,33.69560874806773,-30.470101252640827
5500,35.03229828400187,-30.86493969907855
5600,34.9353358391488,-31.222784608897598
5700,36.65323259334753,-31.621054866526386
5800,33.13194632884299,-32.0599941782432
5900,39.2036603299698,-32.33820550748617
6000,40.18919431337036,-32.70128117929591
6100,32.66465198875654,-33.223833933915245
6200,37.22664824806818,-33.541718473528874
6300,37.20823557306044,-33.87488015807501
6400,47.205711976136314,-34.11806737314357
6500,39.45761778094981,-34.57832502610613
6600,42.743317188602866,-34.85291758622273
6700,47.483502423409185,-35.07974428233534
6800,40.970908596964165,-35.50265049698329
6900,43.961687914215695,-35.79087028881111
7000,45.55071194809262,-36.123483185720914
7100,48.78828019670921,-36.309942113290916
7200,47.94934871173141,-36.59626109057134
7300,48.70616766485838,-36.90901437136206
7400,42.1546628498795,-37.366120517844024
7500,51.41240950150065,-37.49990803180355
7600,50.73586023207938,-37.830796874395695
7700,50.67797366935428,-38.11091753515867
7800,55.22530512290426,-38.36635736899801
7900,49.483782378753816,-38.64219880812239
8000,52.729836643332305,-38.95756145515064
8100,51.18218176199658,-39.252249122846244
8200,54.353954954902726,-39.46594117419554
8300,54.58295004674704,-39.71085750466526
8400,55.019209923130454,-39.91835021972656
8500,61.31491884382645,-40.17605942074615
8600,54.18586100918232,-40.522929125493114
8700,53.926053849777375,-40.797677446119856
8800,57.71008806417484,-41.02718576110235
8900,59.76285245394943,-41.248185450487796
9000,60.24948339179011,-41.434698539205115
9100,57.04861338303821,-41.7730139175264
9200,63.700807259814574,-41.872588355942526
9300,64.99195062051905,-42.1541493104236
9400,56.28976375985854,-42.43259422377785
9500,66.70194763712364,-42.53781161922039
9600,57.394946317861574,-42.885545220705545
9700,63.60603832018258,-43.08329568995107
9800,63.687047056632466,-43.33279932607518
9900,62.14058296279152,-43.51699187023805
10000,68.61868588287051,-43.63666806362643
10100,63.583051183436176,-43.93688258558217
10200,75.54786324501038,-44.01144129687017
10300,66.73296161925438,-44.216005721894824
10400,64.59949732298898,-44.50617886533831
10500,71.16391258900708,-44.63528332851901
10600,74.24300571951535,-44.78931230601698
10700,68.69168846441967,-45.04434612009785
10800,71.17655367426353,-45.1559674102481
10900,73.3177704008499,-45.34769643651377
11000,80.47297668457031,-45.380721819282755
11100,74.54297583173998,-45.611034922080464
11200,77.48832548726904,-45.80426833653214
11300,70.76110294077657,-46.07272116028437
11400,68.69959611939912,-46.22758740717822
11500,71.9202774798516,-46.42825464683004
11600,73.61060678368747,-46.554765795717145
11700,71.40684167937476,-46.774620056152344
11800,72.64968749792268,-46.925430524467245
11900,78.41632954436953,-47.06097687825118
12000,79.94025617070717,-47.27048956993783
12100,79.38313794372105,-47.48143598348788
12200,77.95242225769722,-47.656329239949144
12300,70.90612567297303,-47.906797843404334
12400,79.46897230762066,-48.01865847748105
12500,80.08165715236476,-48.22594470788937
12600,80.24007166022122,-48.35738878911084
12700,83.68763166843074,-48.44606765898148
12800,78.41838043515045,-48.67221469690304
12900,78.22626224838861,-48.88110816124642
13000,78.41237260799596,-48.96318817138672
13100,79.85877727754045,-49.167259896155635
13200,80.18818829319265,-49.20898939831422
13300,84.26868601128606,-49.3315482186799
13400,85.92062209148219,-49.35813265507764
13500,83.80926992633555,-49.57486951469195
13600,87.08950500205012,-49.69414675117719
13700,81.37496730596712,-49.92692898287631
13800,88.7968699271136,-49.873112480239115
13900,78.34016112525865,-50.13048477928237
14000,92.49804351825526,-50.13165940388595
14100,83.6489615629215,-50.40173181212774
14200,88.22648569144825,-50.49509909601495
14300,85.43950899048608,-50.74341243328434
14400,87.37159938387352,-50.69686553501847
14500,83.47671898756877,-50.92654124344929
14600,85.5755253286645,-51.056496610735906
14700,99.486347779189,-50.96881330131304
14800,94.43230648796157,-50.97448492522287
14900,96.06728871978156,-51.02893364783561
15000,91.10927912740424,-51.18092142237295
15100,88.04363943562649,-51.313863697618544
15200,97.42534173361146,-51.328315697094
15300,89.96501449075076,-51.41663927134901
15400,90.44080550599806,-51.57150491393438
15500,95.92333463394996,-51.50616436193485
15600,95.82295893206455,-51.47615999278456
15700,91.0331722155656,-51.58529330716275
15800,96.80675067523919,-51.664377797948255
15900,91.4515037182534,-51.72354273276754
16000,102.05028689733827,-51.65009281422832
16100,93.06700548323074,-51.77502044828812
16200,93.22657231057045,-51.9500790586566
16300,96.55906466682359,-51.996280481319616
16400,95.19715221801607,-52.073864738539896
16500,93.5664878316445,-52.10034538495658
16600,95.41382179637947,-52.218292047481725
16700,87.48823549251745,-52.43952771932772
16800,104.12527491314576,-52.30026173355556
16900,97.04773710741856,-52.477674994138205
17000,102.98195552353812,-52.48245409219572
17100,90.01848361043646,-52.59590182918133
17200,99.36426411524857,-52.64919549167746
17300,97.97682243526572,-52.67701449252591
17400,105.4023343832186,-52.691160258680284
17500,106.2218871730389,-52.68590228392346
17600,106.9971226701642,-52.63716272788473
17700,108.7511471805006,-52.76347732543945
17800,92.20444333199227,-52.76863974391824
17900,104.02053052127951,-52.77057258681496
18000,94.59657733275158,-52.84887264742709
18100,93.39315474387443,-52.952771366232696
18200,101.34482942005195,-52.94054722549892
18300,105.23273002983319,-52.95185432811775
18400,106.47316429402568,-52.891969057593016
18500,102.26007847738738,-52.9075233912704
18600,91.55483496071088,-53.10923393173973
18700,87.70664047014596,-53.15799331665039
18800,98.48048484915554,-53.08252731172165
18900,108.74077596286736,-52.89577340607596
19000,107.55817500671537,-52.9144994150294
19100,108.84767508270717,-52.96989667533648
19200,101.17332151620695,-53.17241695139668
19300,96.27442817404719,-53.25718688964844
19400,106.53458808200195,-53.13174835054001
19500,103.2098240262211,-53.10874878533996
19600,106.054869019159,-53.34385843560247
19700,90.25729684546442,-53.49121252380976
19800,98.59638265099856,-53.41718027851369
19900,101.82390155650602,-53.40277567948445
20000,96.79294486093049,-53.517918879442874
20100,95.41717797930878,-53.54457432208675
20200,106.77443200290793,-53.5746368936973
20300,106.07603012453211,-53.52670662001808
20400,113.28768534235435,-53.45422117780931
20500,106.05865940245071,-53.40689347522093
20600,103.42894825132767,-53.592255129672516
20700,89.77938025540645,-53.8049886344683
20800,103.24979784937189,-53.76124561423122
20900,91.38296913628531,-53.9096104083675
