episode,smoothed_reward
0,6.159010557568116
1,6.312870333806975
2,7.616691607340772
3,19.93405113782869
4,26.46889498806555
5,22.21767615032311
6,27.243006884751026
7,24.11263102467237
8,23.381154099582727
9,33.70516457386738
10,32.71994893151203
11,31.276237635547503
12,31.152260480631107
13,34.03633302790223
14,39.784706054140045
15,41.16744062726253
16,41.4289117981825
17,40.11218064836135
18,39.31936133443034
19,37.92699545574156
20,41.393178598661706
21,41.57125230553396
22,41.80498318131051
23,42.88327731838495
24,41.23976898226199
25,45.431963428361534
26,45.822290748022
27,44.972324326967694
28,46.10084015051287
29,46.019650043069376
30,40.82338292157584
31,40.38504222722821
32,45.33133058820615
33,46.24179297030937
34,43.53544808177965
35,39.10095656030004
36,41.07123047231085
37,41.57184152048004
38,44.26385871735799
39,43.28650571803176
40,48.06707838059157
41,48.75082798782845
42,49.27406992516834
43,49.00321932472234
44,49.162551766039805
45,48.541428189656244
46,44.34850565771908
47,44.1832583342616
48,45.96737303084262
49,45.53859621443287
50,45.31508201267552
51,45.10967082801952
52,47.213427814370775
53,43.746732803383935
54,48.40112507814866
55,48.07078542381462
56,47.39881813346464
57,43.12453328551376
58,41.382907977753106
59,40.16889498014583
60,46.349936678750566
61,43.22853079377511
62,38.26183420171942
63,39.38762271932909
64,39.618416691541704
65,38.21411864018345
66,38.78736685908342
67,38.67806798115451
68,46.143710562267664
69,42.550944967157974
70,43.113366602472844
71,45.68001831912511
72,48.75299682549222
73,47.014267910350625
74,46.068831587513976
75,39.71221512275726
76,40.93369411785622
77,42.73935130813361
78,42.614860905938365
79,42.63488495318372
80,41.52770797684247
81,35.7171575689301
82,33.6843765519438
83,35.409391897622804
84,33.51396483163594
85,35.48249831534332
86,35.38258933590829
87,35.77602584120582
88,38.53333081297501
89,37.40192901411285
90,37.53040944873398
91,36.91392357278124
92,34.11201586089088
93,31.204988306871293
94,30.92640715079612
95,34.20735795705241
96,33.63414192581573
97,32.04319147751595
98,33.16741383850359
99,33.43886583545802
100,35.0778882293749
101,33.81526333495015
102,33.93121213296837
103,34.60279279799941
104,32.26848819405484
105,32.878721029787386
106,30.484764245650943
107,31.719409888444858
108,34.17863245277829
109,30.348247117278977
110,24.468078987592836
111,25.02260084885148
112,24.37692608216123
113,24.19876223214998
114,26.179993665379254
115,29.591391054398336
116,25.549059302330782
117,26.1761643439762
118,31.68295678811773
119,28.389284585775993
120,28.19901591851818
121,27.395951878473916
