episode,reward
0,6.159010557568116
1,6.466730110045834
2,10.224334154408364
3,56.88612972929244
4,52.60827038901301
5,0.9615819616109045
6,57.394991291318505
7,2.200000004121799
8,17.52933869886556
9,126.6212588424292
10,22.86779250795859
11,15.395413379937652
12,29.664534621634342
13,71.52927614242685
14,120.26192842146936
15,61.908459224099936
16,45.61245053290197
17,17.727751101401857
18,25.04861368367206
19,11.472043760654827
20,110.71684145706455
21,9.89855840188557
22,11.375078501353283
23,32.868511032971576
24,22.372454670710287
25,140.64435375710354
26,9.158455674480761
27,39.54569644917792
28,25.898832298570486
29,15.82434644255233
30,17.49964929106502
31,13.66263792665827
32,119.26746896047428
33,48.784244645802154
34,14.696033483302601
35,27.137606470397724
36,103.28421137632688
37,56.12528254445513
38,74.26011223583863
39,4.524200697821293
40,111.86406967441073
41,125.07558320903921
42,20.886639086023017
43,5.687215891987347
44,36.214492300638426
45,9.328859566655403
46,52.592980586423145
47,5.688261881873731
48,77.0121050773794
49,16.894519153965664
50,11.130548205647887
51,13.186014413288941
52,57.84153464003463
53,46.466873729750624
54,146.52648241586135
55,7.758900742287738
56,13.026293373048157
57,13.524229569358498
58,19.551151081481386
59,48.76583928608583
60,134.32607636852094
61,46.314546089925955
62,20.77495477586955
63,44.528197955826364
64,10.533889308452242
65,6.724233222114949
66,21.36707216355465
67,50.29770414991612
68,162.4667560852499
69,1.564027580075817
70,28.70537349557811
71,65.03023425534542
72,77.71856304699834
73,21.328227422060937
74,26.612710950181327
75,13.037536655970118
76,33.40995963936593
77,50.94509436887324
78,10.909931123258545
79,19.971656073633916
80,25.51512278291961
81,12.30451780236118
82,3.6261447332135193
83,57.00027703512861
84,4.724229570102156
85,51.87309246630736
86,4.626144653979182
87,29.629238774802822
88,108.20110855706915
89,138.70731830914477
90,4.262116707119362
91,15.759170100570715
92,6.190172305647649
93,16.670984412587153
94,15.478023144482275
95,95.51267788156346
96,1.0
97,2.2507032415575168e-07
98,74.55376394961374
99,16.610423059301286
100,54.391126345888445
101,-1.0
102,14.739442560743633
103,17.729338698865558
104,7.9798803522925486
105,17.539119120485527
106,1.5999999994421064
107,30.553703152651337
108,81.27291262580488
109,27.763016511583682
110,15.223787585735955
111,15.907075793550728
112,2.200000000075503
113,2.4487314554114405
114,58.27684451040189
115,87.11736831388299
116,10.623711088144933
117,14.169205874553796
118,115.64264155204243
119,5.3866477004372335
120,12.614781046887138
121,37.52678150495905
122,5.633812732645495
123,1.6
124,191.23050936617238
125,37.99753906622502
126,21.43967260881295
127,49.3080662739329
128,6.181668826209943
129,21.894400921878756
130,49.14065540861075
131,38.93677323341354
132,8.390171701484858
133,101.04685969766665
134,11.072166649769557
135,35.46009790870687
136,6.505135882496912
137,109.99232534072134
138,39.06687624994785
139,13.943000381422522
140,105.364708583386
141,24.27010676177604
142,13.402777716663351
143,42.33281486295839
144,6.562023886212206
145,17.393713187009464
146,133.03625027477742
147,71.51587674162033
148,51.39903223138181
149,37.90578293397592
150,56.19354395791902
151,46.37181274324586
152,56.4565379634143
153,22.91528230032047
154,79.38161056634489
155,183.7661220994047
156,0.46211715726000974
157,78.62294234406507
158,58.867340222818754
159,42.53124437605784
160,7.924234284060061
161,12.721498064838908
162,288.5198369938963
163,7.085823694145901
164,18.921365980325803
165,66.66525304765416
166,60.41572581514618
167,28.11102067996987
168,55.15628026846036
169,3.1050574579074617
170,15.825721628611374
171,35.65078222876573
172,13.993454192864936
173,83.244370226402
174,41.4663807846667
175,53.68228594391408
176,93.55278081876408
177,15.157447893902102
178,45.44712195218183
179,49.92563322947934
180,14.242886631273576
181,116.80187314719655
182,89.76373107433548
183,3.5866142981514306
184,92.18813169972765
185,58.73279772091619
186,59.98504399937653
187,34.79467965594655
188,42.67057562270326
189,50.80515800557872
190,154.93997785374268
191,50.01100772264139
192,58.702204860202265
193,85.53197132014539
194,171.1361602837473
195,17.83472948065242
196,45.659300983824735
197,6.381578256100756
198,26.69120860633657
199,-1.0
200,25.428833147476073
201,94.06916014731888
202,26.484954535165727
203,47.19596060440152
204,28.614072117145934
205,51.521021919632645
206,12.466449894673481
207,127.30823854588434
208,117.2092456626648
209,9.99974869019892
