feature,mean,std
Text Features,0.29908040165901184,0.13194778561592102
Damage Features,0.21456705033779144,0.12971051037311554
Layering Features,0.22922319173812866,0.1171632707118988
Vertical Pattern,0.2571293115615845,0.11603100597858429
Scale Factor,4.211134671093896,2.330701626089101
