Feature,Importance
Edge Distance,0.7339829166782158
Vertical Match,0.05730900995486285
Text Match,0.05699521903765406
Damage Match,0.040632800699229234
Bottom Text,0.017731613848505107
Top Vertical,0.016696770418156433
Top Text,0.015633635787627657
Layer Match,0.015331692525952366
Bottom Damage,0.013382478391438387
Bottom Vertical,0.013335781773453159
Top Damage,0.009922674548671928
Bottom Layer,0.007494846225219519
Top Layer,0.0015505601110134771
