run_id,seed,final_train_improvement,final_validation_improvement,best_validation_improvement,training_time
1,3812,-0.6292,4.777777777777778,4.777777777777778,228.9320468902588
2,3813,2.65904,4.944444444444445,4.944444444444445,226.68771815299988
3,3814,0.60274,-1.0,5.277777777777778,225.58331179618835
4,3815,3.67958,-3.611111111111111,3.7777777777777777,226.25050401687622
5,3816,2.76104,-4.666666666666667,-0.9444444444444444,244.70590376853943
