run_id,step,train_improvement,validation_improvement
1,0,-7.956,-3.3333333333333335
1,5000,-3.6537,4.666666666666667
1,10000,-1.5958666666666668,4.388888888888889
1,15000,-0.966,1.8333333333333333
1,20000,-0.81156,4.5
1,25000,-0.6677333333333333,4.777777777777778
1,30000,-0.731,4.777777777777778
1,35000,-0.682225,4.666666666666667
1,40000,-0.7350444444444444,4.777777777777778
1,45000,-0.6292,4.777777777777778
2,0,-4.173,-5.0
2,5000,-0.1232,4.944444444444445
2,10000,0.8388,4.944444444444445
2,15000,1.421,4.944444444444445
2,20000,1.67552,4.944444444444445
2,25000,1.9980333333333333,4.944444444444445
2,30000,2.290942857142857,4.888888888888889
2,35000,2.476475,4.944444444444445
2,40000,2.4867777777777778,4.888888888888889
2,45000,2.65904,4.944444444444445
3,0,-6.7208,-3.5555555555555554
3,5000,-3.0884,-0.7222222222222222
3,10000,-1.191,-0.2777777777777778
3,15000,-0.5019,-1.5555555555555556
3,20000,-0.51812,-2.5
3,25000,-0.2833,-0.9444444444444444
3,30000,-0.36911428571428573,0.16666666666666666
3,35000,-0.0361,0.2777777777777778
3,40000,0.36391111111111113,5.277777777777778
3,45000,0.60274,-1.0
4,0,-2.0974,-9.38888888888889
4,5000,1.2025,3.7777777777777777
4,10000,2.4608666666666665,3.388888888888889
4,15000,3.03305,3.5555555555555554
4,20000,3.41936,-1.1111111111111112
4,25000,3.4937,-2.0555555555555554
4,30000,3.5122857142857145,-1.7777777777777777
4,35000,3.489775,-1.8333333333333333
4,40000,3.570666666666667,-2.5
4,45000,3.67958,-3.611111111111111
5,0,-2.3574,-17.055555555555557
5,5000,0.7025,-0.9444444444444444
5,10000,2.0726,-4.277777777777778
5,15000,2.0883,-10.944444444444445
5,20000,2.29532,-2.111111111111111
5,25000,2.4038333333333335,-3.0555555555555554
5,30000,2.448514285714286,-4.0
5,35000,2.596225,-2.2777777777777777
5,40000,2.7008888888888887,-5.388888888888889
5,45000,2.76104,-4.666666666666667
